user_id,donor_id,name,phone,email,blood_type,lat,lon,last_donation_date,is_active,reliability_score
2bd5f75b-98fb-48a6-af59-0995de5a2492,4ff64887-f95e-4536-a9a1-bdc712d8c22d,Aryan Maharaj,+918196001338,issaconi@example.org,O+,13.343004,77.103319,2026-06-24,False,78.8
f0814ec8-1557-4f03-9ef0-0f7b6a9ccd9f,88f8a826-28fe-4058-aa57-22a8c15fd490,Arunima Ahuja,+912351161559,caleb78@example.org,A+,15.817008,74.537931,2024-04-07,True,78.68
ef49fbe6-64b4-4d86-a28e-e6ef6efae5ed,e9e94b2f-47f0-47b2-bbd8-51380a69ed5a,Farhan Memon,+910341316475,kamalapant@example.org,B+,12.977915,77.599371,2026-03-29,True,80.66
aa859e4a-4736-4e30-9fac-6f8403de983b,f3e2ced4-adb2-48c7-9b14-0c5b26d9c3bb,Ekbal Garg,+914835030564,kakardivya@example.org,A+,17.31618,76.802374,2026-03-07,True,74.9
229117f4-df8e-469e-9683-675cc6c90790,0eeaa01c-38aa-44c6-b175-9400cba31e6f,Meghana Shanker,+918849696532,wchand@example.org,B-,12.903983,77.510725,2026-05-07,True,70.96
ec7fcb01-579e-4157-b3ee-4bc5d8295ea2,77290ed8-4ace-4181-aefb-df9a4ce181f2,Michael Dutta,+916978480184,isaac46@example.org,AB+,12.974048,77.604641,2026-04-04,True,84.98
c7100c4a-040f-4a33-8494-e953535cb534,65c75028-819f-4e46-bc03-f49563f91dbb,Aarush Lall,+918932528809,vrinda01@example.com,A+,13.351042,74.755173,2026-03-07,True,87.54
eb904a81-0090-4e25-9dd0-6e1b76af0bc9,b88a96ee-edce-46ab-9142-5795eb8825e9,Wriddhish Bhardwaj,+917182278248,ikakar@example.net,AB-,13.008123,76.107357,2026-07-31,True,95.83
686a775a-d994-4622-b3a5-91159bf4ac6a,2536a0dc-6596-4f1a-b9fa-974044040741,Devika Rastogi,+911331509839,abhimanyubobal@example.net,O+,12.969911,77.590888,2026-05-27,True,85.87
53701bdc-8829-4e0a-8313-c54e32800d62,300b7e16-6a28-4f21-baf4-738700c70485,Veer Bir,+913473829973,mray@example.org,O+,17.937842,77.521984,2026-03-07,True,93.06
e415b74c-4f55-4f06-b1f4-518d38316bcb,debb6ad7-4759-48f8-9369-a261399dd310,Raagini Pandya,+911065133387,pahalgoswami@example.com,A+,12.978092,77.604834,2026-04-11,True,92.86
0e6fe204-8f0b-407f-92f8-655d9620d626,5794db6c-eecd-41f4-bd1f-87e9c30aedeb,Zaid Borra,+918013267736,galaladli@example.org,O+,15.363911,75.123179,2026-07-17,True,92.88
31d15b92-56c3-44f1-9586-1d06885c3776,6e5fe8f8-15a3-4a32-aa8e-892790d22a64,Alka Sha,+912343098050,soodyadavi@example.net,A+,15.325234,75.116098,2026-01-25,True,80.89
0e4e7fa3-dd2d-4faa-b850-268ef4066f40,9df75904-3223-4d33-86a9-4a26db1a89d0,Dakshesh Trivedi,+911361939909,sainidiya@example.com,B+,13.137821,78.154887,2026-08-01,True,84.58
59e04c8e-78b5-4ccb-81e8-adda491d6b4a,7539fb96-3fb5-4640-893f-d98248153608,Dipta Khare,+917510799118,yashawinilanka@example.org,A+,12.978162,77.527145,2026-06-02,True,85.83
ebcd3ca4-601b-4bee-99ef-4bbf548c7e5c,06df74f5-5058-4340-9329-f7f8ffe92ad0,Ekapad Konda,+918498084124,chhabranachiket@example.com,O+,15.90298,74.471174,2026-04-05,True,90.15
caa34987-191f-4ade-99d4-b61d28302e69,ac724856-c3cc-4b8e-96fe-e8aafc44a7be,Shivansh Oza,+914016400524,riyasane@example.net,B+,12.886356,77.622122,2026-01-23,True,76.9
7c004841-39fe-43cf-a6d3-d63813cd1855,474b3edb-e115-43df-aadd-ccfcca9d70ea,Isaac Borra,+919826204505,zaidchauhan@example.com,A-,12.970972,77.593904,2026-04-02,False,77.14
214a71a2-ab97-45b7-a1f8-63c3f7afff55,aa4c1401-13f2-4846-8a41-bbfad5334dc1,Mohammed Khalsa,+912563421607,ryansharma@example.com,AB+,17.332354,76.837349,2026-06-12,True,84.19
e14697eb-9152-4c32-8303-7c46a560345b,33a3f950-59e7-47ae-932a-bbda1fa8733a,Vedant Kapoor,+914145868501,pranav94@example.org,B+,12.295313,76.638626,2026-08-05,True,99.52
71df3060-d0a9-4c0d-b161-304ade140f94,8a185d51-712e-43b2-89d2-6beabc079ded,Radha Pai,+911693406088,janujasankar@example.org,O+,12.960414,77.612865,2025-08-03,True,74.21
1b0e9324-ee40-4f6a-9244-d887820229ce,a83338de-7b6e-4e7c-9dab-d91a95d6f24d,Dipta Dash,+915648236629,nidra80@example.com,A+,12.990626,77.574949,2026-03-05,True,89.56
6264d59d-1716-4e67-940d-bf8741f070df,af510937-c07b-4bd7-a233-1069a800712c,Shivansh Sani,+913872148951,dayitakar@example.org,O+,12.914127,74.856018,2024-12-24,True,76.41
c82894ee-7274-48b9-8f23-b27dbea17c1d,33a6e55d-e755-4500-babc-dcf625182834,Aryan Batra,+917693676320,sandaltheodore@example.org,AB+,12.295523,76.63967,2024-11-05,True,90.9
630d734f-06ff-425b-939d-e96a4c05b7fd,4e2fc382-62fc-4743-8691-120b24a7886d,Chandresh Krish,+918895798687,vaishnavisengupta@example.com,B+,14.452189,75.901403,2025-07-06,True,87.38
33a6a52c-4d86-4b8c-a53f-6421e2f792f5,cb6dbac4-e6d1-4af1-8898-f3fe0df2052a,Aradhana Verma,+911434558122,leeladua@example.net,O+,12.949105,74.869484,2026-06-05,True,98.82
35eb45f7-b26f-490f-8de6-69eb20391cd2,39e3c3a9-74ee-47b9-96f8-2119e6109c9c,Devansh Sachdeva,+916036690967,pandeychanchal@example.com,O+,12.967278,77.591584,2025-10-14,True,87.09
a216f146-12e5-45ef-b5ce-9f363d24c2c8,e988d67b-b021-4011-bd53-f8cf986924b9,Thomas Sura,+910656272980,fbala@example.net,O+,12.914265,74.856096,2026-07-02,True,76.13
a31b17b7-10ff-4a62-b018-7ccc50825f54,3fdd56e0-c35f-4ebc-b6e6-b84007521f13,Krishna Shenoy,+915375564641,vbahl@example.net,O+,14.462231,75.92352,2025-03-27,True,98.07
